composto;turmas;;;;;;;;
COMP_1184;3MIEIC01;3MIEIC02;3MIEIC03;3MIEIC04;3MIEIC05;3MIEIC06;;;
COMP_138;1MIEIC06;1MIEIC08;;;;;;;
COMP_1172;2MIEIC01;2MIEIC02;2MIEIC03;2MIEIC04;2MIEIC05;2MIEIC06;;;
COMP_1395;1MIEIC01;1MIEIC02;1MIEIC03;1MIEIC04;1MIEIC05;1MIEIC06;1MIEIC07;1MIEIC08;1MIEIC09
COMP_1156;4MIEIC01;4MIEIC02;4MIEIC03;4MIEIC04;4MIEIC05;4M01i;;;
COMP_1270;1MIEIC01;1MIEIC02;1MIEIC03;1MIEIC04;;;;;
COMP_1398;1MIEIC07;1MIEIC09;;;;;;;
COMP_1157;4MIEIC01;4MIEIC02;4MIEIC03;4MIEIC04;4MIEIC05;;;;
COMP_1400;1MIEIC05;1MIEIC06;1MIEIC07;1MIEIC08;1MIEIC09;;;;
